start
sketch:sketch_1(origin=(-0.38, -0.34, 0.00), normal=(0.0000, 0.0000, 1.0000), x_axis=(1.0000, 0.0000, 0.0000))
vertex:v_1 = (0.0000, 0.0000)
vertex:v_2 = (0.0395, -0.0395)
arc:arc_1(start=v_1, end=v_2, through=[0.01156157, -0.02791211])
vertex:v_3 = (0.2211, -0.0395)
line:line_2(start=v_2, end=v_3)
vertex:v_4 = (0.2211, 0.0000)
line:line_3(start=v_3, end=v_4)
vertex:v_5 = (0.2605, 0.0000)
line:line_4(start=v_4, end=v_5)
vertex:v_6 = (0.2605, 0.0395)
line:line_5(start=v_5, end=v_6)
vertex:v_7 = (0.1342, 0.0395)
line:line_6(start=v_6, end=v_7)
vertex:v_8 = (0.1342, 0.0553)
line:line_7(start=v_7, end=v_8)
vertex:v_9 = (0.2605, 0.2053)
line:line_8(start=v_8, end=v_9)
vertex:v_10 = (0.3158, 0.2053)
line:line_9(start=v_9, end=v_10)
vertex:v_11 = (0.3789, 0.2211)
line:line_10(start=v_10, end=v_11)
vertex:v_12 = (0.4342, 0.2053)
line:line_11(start=v_11, end=v_12)
vertex:v_13 = (0.4895, 0.2053)
line:line_12(start=v_12, end=v_13)
vertex:v_14 = (0.6158, 0.0553)
line:line_13(start=v_13, end=v_14)
vertex:v_15 = (0.6158, 0.0395)
line:line_14(start=v_14, end=v_15)
vertex:v_16 = (0.4895, 0.0395)
line:line_15(start=v_15, end=v_16)
vertex:v_17 = (0.4895, 0.0000)
line:line_16(start=v_16, end=v_17)
vertex:v_18 = (0.5211, 0.0000)
line:line_17(start=v_17, end=v_18)
vertex:v_19 = (0.5211, -0.0395)
line:line_18(start=v_18, end=v_19)
vertex:v_20 = (0.7105, -0.0395)
line:line_19(start=v_19, end=v_20)
vertex:v_21 = (0.7500, 0.0000)
arc:arc_20(start=v_20, end=v_21, through=[0.73843843, -0.02791211])
vertex:v_22 = (0.7500, 0.1895)
line:line_21(start=v_21, end=v_22)
vertex:v_23 = (0.7105, 0.1895)
line:line_22(start=v_22, end=v_23)
vertex:v_24 = (0.7105, 0.2211)
line:line_23(start=v_23, end=v_24)
vertex:v_25 = (0.6789, 0.2211)
line:line_24(start=v_24, end=v_25)
vertex:v_26 = (0.6789, 0.0947)
line:line_25(start=v_25, end=v_26)
vertex:v_27 = (0.6553, 0.0947)
line:line_26(start=v_26, end=v_27)
vertex:v_28 = (0.5053, 0.2211)
line:line_27(start=v_27, end=v_28)
vertex:v_29 = (0.5053, 0.2842)
line:line_28(start=v_28, end=v_29)
vertex:v_30 = (0.4895, 0.3395)
line:line_29(start=v_29, end=v_30)
vertex:v_31 = (0.5053, 0.3947)
line:line_30(start=v_30, end=v_31)
vertex:v_32 = (0.5053, 0.4500)
line:line_31(start=v_31, end=v_32)
vertex:v_33 = (0.6553, 0.6000)
line:line_32(start=v_32, end=v_33)
vertex:v_34 = (0.6789, 0.6000)
line:line_33(start=v_33, end=v_34)
vertex:v_35 = (0.6789, 0.4500)
line:line_34(start=v_34, end=v_35)
vertex:v_36 = (0.7105, 0.4500)
line:line_35(start=v_35, end=v_36)
vertex:v_37 = (0.7105, 0.4895)
line:line_36(start=v_36, end=v_37)
vertex:v_38 = (0.7500, 0.4895)
line:line_37(start=v_37, end=v_38)
vertex:v_39 = (0.7500, 0.6789)
line:line_38(start=v_38, end=v_39)
vertex:v_40 = (0.7105, 0.7105)
arc:arc_39(start=v_39, end=v_40, through=[0.73680337, 0.70291211])
vertex:v_41 = (0.5211, 0.7105)
line:line_40(start=v_40, end=v_41)
vertex:v_42 = (0.5211, 0.6789)
line:line_41(start=v_41, end=v_42)
vertex:v_43 = (0.4658, 0.6789)
line:line_42(start=v_42, end=v_43)
vertex:v_44 = (0.4658, 0.6395)
line:line_43(start=v_43, end=v_44)
vertex:v_45 = (0.6158, 0.6395)
line:line_44(start=v_44, end=v_45)
vertex:v_46 = (0.6158, 0.6158)
line:line_45(start=v_45, end=v_46)
vertex:v_47 = (0.4895, 0.4658)
line:line_46(start=v_46, end=v_47)
vertex:v_48 = (0.4342, 0.4658)
line:line_47(start=v_47, end=v_48)
vertex:v_49 = (0.3789, 0.4500)
line:line_48(start=v_48, end=v_49)
vertex:v_50 = (0.3158, 0.4658)
line:line_49(start=v_49, end=v_50)
vertex:v_51 = (0.2605, 0.4658)
line:line_50(start=v_50, end=v_51)
vertex:v_52 = (0.1342, 0.6158)
line:line_51(start=v_51, end=v_52)
vertex:v_53 = (0.1342, 0.6395)
line:line_52(start=v_52, end=v_53)
vertex:v_54 = (0.2842, 0.6395)
line:line_53(start=v_53, end=v_54)
vertex:v_55 = (0.2842, 0.6789)
line:line_54(start=v_54, end=v_55)
vertex:v_56 = (0.2211, 0.6789)
line:line_55(start=v_55, end=v_56)
vertex:v_57 = (0.2211, 0.7105)
line:line_56(start=v_56, end=v_57)
vertex:v_58 = (0.0395, 0.7105)
line:line_57(start=v_57, end=v_58)
vertex:v_59 = (0.0000, 0.6789)
arc:arc_58(start=v_58, end=v_59, through=[0.01319663, 0.70291211])
vertex:v_60 = (0.0000, 0.4895)
line:line_59(start=v_59, end=v_60)
vertex:v_61 = (0.0395, 0.4895)
line:line_60(start=v_60, end=v_61)
vertex:v_62 = (0.0395, 0.4500)
line:line_61(start=v_61, end=v_62)
